Incoming message from Client is : 55.0	0.0	0.0
Incoming message from Client is : 53.71361422932704	0.3577036980243685	14.499999999999964	
Outgoing message to Client is : 51.663083476321106	0.5113859748479661	14.599999999999964	

Incoming message from Client is : 51.663083476321106	0.5113859748479661	14.599999999999964	
Outgoing message to Client is : 48.73157151859391	0.6586492473169736	14.699999999999964	

Incoming message from Client is : 48.73157151859391	0.6586492473169736	14.699999999999964	
Outgoing message to Client is : 44.9558751963947	0.7970802198082834	14.799999999999963	

Incoming message from Client is : 44.9558751963947	0.7970802198082834	14.799999999999963	
Outgoing message to Client is : 40.3866255287039	0.9240235186638532	14.899999999999963	

Incoming message from Client is : 40.3866255287039	0.9240235186638532	14.899999999999963	
Outgoing message to Client is : 35.08967542171366	1.03664585132361	14.999999999999963	

Incoming message from Client is : 35.08967542171366	1.03664585132361	14.999999999999963	
Outgoing message to Client is : 29.147119586100608	1.1320642459161847	15.099999999999962	

Incoming message from Client is : 29.147119586100608	1.1320642459161847	15.099999999999962	
Outgoing message to Client is : 22.65757932288681	1.2075316734788957	15.199999999999962	

Incoming message from Client is : 22.65757932288681	1.2075316734788957	15.199999999999962	
Outgoing message to Client is : 15.735423232880404	1.2606597406504476	15.299999999999962	

Incoming message from Client is : 15.735423232880404	1.2606597406504476	15.299999999999962	
Outgoing message to Client is : 8.508711343801405	1.289645264058006	15.399999999999961	

Incoming message from Client is : 8.508711343801405	1.289645264058006	15.399999999999961	
Outgoing message to Client is : 1.1158404033414988	1.2934602054585123	15.499999999999961	

Incoming message from Client is : 1.1158404033414988	1.2934602054585123	15.499999999999961	
Outgoing message to Client is : -6.298899627949336	1.271966879742106	15.59999999999996	

Incoming message from Client is : -6.298899627949336	1.271966879742106	15.59999999999996	
Outgoing message to Client is : -13.59042951182128	1.2259337566478818	15.69999999999996	

Incoming message from Client is : -13.59042951182128	1.2259337566478818	15.69999999999996	
Outgoing message to Client is : -20.6180752505671	1.156948385201285	15.79999999999996	

Incoming message from Client is : -20.6180752505671	1.156948385201285	15.79999999999996	
Outgoing message to Client is : -27.25026344598848	1.0672463123557776	15.89999999999996	

Incoming message from Client is : -27.25026344598848	1.0672463123557776	15.89999999999996	
Outgoing message to Client is : -33.36823593719994	0.9594911516881908	15.99999999999996	

Incoming message from Client is : -33.36823593719994	0.9594911516881908	15.99999999999996	
Outgoing message to Client is : -38.86850368573097	0.8365467513198261	16.09999999999996	

Incoming message from Client is : -38.86850368573097	0.8365467513198261	16.09999999999996	
Outgoing message to Client is : -43.66399461686373	0.7012776607827964	16.19999999999996	

